variant,bs,dx,dy,n,k,kernel_name,kernel_name_full,total_time_ms,avg_time_ms,instances,time_percent
TurboFNO_1D_A,64,128,128,64,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",15.208469,2.5347448,6,58.4
TurboFNO_1D_A,64,128,128,64,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.039184,1.1731973,6,27.0
TurboFNO_1D_A,64,128,128,64,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.790568,0.6317613000000001,6,14.6
TurboFNO_1D_A,64,128,128,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.18094,4.36349,6,59.3
TurboFNO_1D_A,64,128,128,64,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",14.160668,2.3601113,6,32.1
TurboFNO_1D_A,64,128,128,64,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.778309,0.6297182,6,8.6
TurboFNO_1D_A,64,128,128,64,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",51.355007,8.5591678,6,61.6
TurboFNO_1D_A,64,128,128,64,512,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",28.252991,4.7088318,6,33.9
TurboFNO_1D_A,64,128,128,64,512,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.758983,0.6264972,6,4.5
TurboFNO_1D_A,64,128,128,128,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.646509,1.2744182,6,52.8
TurboFNO_1D_A,64,128,128,128,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",5.897368,0.9828946999999999,6,40.7
TurboFNO_1D_A,64,128,128,128,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.941402,0.1569003,6,6.5
TurboFNO_1D_A,64,128,128,128,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",7.728779,1.2881298,6,44.8
TurboFNO_1D_A,64,128,128,128,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.679179,1.2798631999999999,6,44.5
TurboFNO_1D_A,64,128,128,128,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.830547,0.3050912,6,10.6
TurboFNO_1D_A,64,128,128,128,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",15.070873,2.5118122,6,57.3
TurboFNO_1D_A,64,128,128,128,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.671181,1.2785302,6,29.2
TurboFNO_1D_A,64,128,128,128,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.558247,0.5930411999999999,6,13.5
TurboFNO_1D_A,64,128,128,128,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.507147,4.4178578,6,64.2
TurboFNO_1D_A,64,128,128,128,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.674571,1.2790952,6,18.6
TurboFNO_1D_A,64,128,128,128,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.100368,1.1833947,6,17.2
